,location_x,latitude_x,longitude_x,location_y,latitude_y,longitude_y,distance
0,"Portland, OR, USA",45.515232,-122.6783853,"Portland, OR, USA",45.515232,-122.6783853,10.0
1,"Portland, OR, USA",45.515232,-122.6783853,"Seattle, WA, USA",47.6062095,-122.3320708,234.01
2,"Portland, OR, USA",45.515232,-122.6783853,"New York, NY, USA",40.7127753,-74.0059728,3925.65
3,"Portland, OR, USA",45.515232,-122.6783853,"Los Angeles, CA, USA",34.0522342,-118.2436849,1329.2
4,"Portland, OR, USA",45.515232,-122.6783853,"Chicago, IL, USA",41.8781136,-87.6297982,2823.72
5,"Portland, OR, USA",45.515232,-122.6783853,"Dallas, TX, USA",32.7766642,-96.7969879,2625.3
6,"Portland, OR, USA",45.515232,-122.6783853,"Houston, TX, USA",29.7604267,-95.3698028,2950.92
7,"Portland, OR, USA",45.515232,-122.6783853,"Washington, DC, USA",38.9071923,-77.0368707,3777.54
8,"Portland, OR, USA",45.515232,-122.6783853,"Philadelphia, PA, USA",39.9525839,-75.1652215,3871.9
9,"Portland, OR, USA",45.515232,-122.6783853,"Atlanta, GA, USA",33.748752,-84.38768449999999,3490.33
10,"Portland, OR, USA",45.515232,-122.6783853,"Miami, FL, USA",25.7616798,-80.1917902,4353.67
11,"Portland, OR, USA",45.515232,-122.6783853,"Phoenix, AZ, USA",33.4483771,-112.0740373,1618.13
12,"Portland, OR, USA",45.515232,-122.6783853,"Boston, MA, USA",42.3600825,-71.0588801,4076.5
13,"Portland, OR, USA",45.515232,-122.6783853,"Riverside, CA, USA",33.9806005,-117.3754942,1359.55
14,"Portland, OR, USA",45.515232,-122.6783853,"San Francisco, CA, USA",37.7749295,-122.4194155,860.95
15,"Portland, OR, USA",45.515232,-122.6783853,"Detroit, MI, USA",42.331427,-83.0457538,3161.39
16,"Portland, OR, USA",45.515232,-122.6783853,"Minneapolis, MN, USA",44.977753,-93.2650108,2290.55
17,"Portland, OR, USA",45.515232,-122.6783853,"San Diego, CA, USA",32.715738,-117.1610838,1499.76
18,"Portland, OR, USA",45.515232,-122.6783853,"Tampa, FL, USA",27.950575,-82.4571776,4024.58
19,"Portland, OR, USA",45.515232,-122.6783853,"Denver, CO, USA",39.7392358,-104.990251,1578.86
20,"Portland, OR, USA",45.515232,-122.6783853,"Baltimore, MD, USA",39.2903848,-76.6121893,3791.75
21,"Portland, OR, USA",45.515232,-122.6783853,"St. Louis, MO, USA",38.6270025,-90.1994042,2767.01
22,"Portland, OR, USA",45.515232,-122.6783853,"Charlotte, NC, USA",35.2270869,-80.8431267,3677.29
23,"Portland, OR, USA",45.515232,-122.6783853,"Orlando, FL, USA",28.5383832,-81.3789269,4064.47
24,"Portland, OR, USA",45.515232,-122.6783853,"San Antonio, TX, USA",29.4251905,-98.4945922,2765.44
25,"Portland, OR, USA",45.515232,-122.6783853,"Sacramento, CA, USA",38.5815719,-121.4943996,777.14
26,"Portland, OR, USA",45.515232,-122.6783853,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864,3475.97
27,"Portland, OR, USA",45.515232,-122.6783853,"Austin, TX, USA",30.267153,-97.7430608,2748.44
28,"Portland, OR, USA",45.515232,-122.6783853,"Las Vegas, NV, USA",36.171563,-115.1391009,1215.94
29,"Portland, OR, USA",45.515232,-122.6783853,"Cincinnati, OH, USA",39.1031182,-84.5120196,3186.63
30,"Portland, OR, USA",45.515232,-122.6783853,"Kansas City, MO, USA",39.0997265,-94.5785667,2404.17
31,"Portland, OR, USA",45.515232,-122.6783853,"Columbus, OH, USA",39.9611755,-82.99879419999999,3264.44
32,"Portland, OR, USA",45.515232,-122.6783853,"Indianapolis, IN, USA",39.768403,-86.158068,3027.27
33,"Portland, OR, USA",45.515232,-122.6783853,"Cleveland, OH, USA",41.49932,-81.6943605,3298.92
34,"Portland, OR, USA",45.515232,-122.6783853,"Nashville, TN, USA",36.1626638,-86.7816016,3163.11
35,"Portland, OR, USA",45.515232,-122.6783853,"San Jose, CA, USA",37.33874,-121.8852525,911.57
36,"Portland, OR, USA",45.515232,-122.6783853,"Virginia Beach, VA, USA",36.8516437,-75.97921939999999,3965.86
37,"Portland, OR, USA",45.515232,-122.6783853,"Providence, RI, USA",41.8239891,-71.4128343,4073.32
38,"Portland, OR, USA",45.515232,-122.6783853,"Jacksonville, FL, USA",30.3321838,-81.65565099999999,3920.25
39,"Portland, OR, USA",45.515232,-122.6783853,"Milwaukee, WI, USA",43.0389025,-87.9064736,2760.16
40,"Portland, OR, USA",45.515232,-122.6783853,"Raleigh, NC, USA",35.7795897,-78.6381787,3817.66
41,"Portland, OR, USA",45.515232,-122.6783853,"Oklahoma City, OK, USA",35.4675602,-97.5164276,2389.1
42,"Portland, OR, USA",45.515232,-122.6783853,"Memphis, TN, USA",35.1495343,-90.0489801,2970.56
43,"Portland, OR, USA",45.515232,-122.6783853,"Richmond, VA, USA",37.5407246,-77.4360481,3815.9
44,"Portland, OR, USA",45.515232,-122.6783853,"Louisville, KY, USA",38.2526647,-85.7584557,3131.22
45,"Portland, OR, USA",45.515232,-122.6783853,"Salt Lake City, UT, USA",40.7607793,-111.8910474,1021.25
46,"Portland, OR, USA",45.515232,-122.6783853,"New Orleans, LA, USA",29.95106579999999,-90.0715323,3315.24
47,"Portland, OR, USA",45.515232,-122.6783853,"Hartford, CT, USA",41.7658043,-72.6733723,3980.08
